[STRING]
String = 12000,Hac Long Giang
String = 20330,CoThietThanUng
String = 20331,LietDiemHoaQuy
String = 20332,ThaoThietYeuHai
String = 20333,UMinhQuyKy
String = 20334,MaLinhDaoBinh 
String = 20335,MaLinhThuongBinh 
String = 20336,Sieu PThanhThanChuy
String = 20337,Sieu TaLinhYeu
String = 20341,Ham Tinh
String = 20342,Truyen Tong Diem
String = 20343,Xich Diem Tran
String = 20344,Manh Hoa Tran
String = 20345,Lien Hoa Lac
String = 20346,Phu Loi Lac
String = 20347,Kim Phu Toa
String = 20348,Na Di Tran
String = 20349,Chuyen Vi Tran
String = 20350,Thac Tung Tran
String = 20351,Sinh Tu Mon
String = 20352,Tham Uyen Mon
String = 20353,Dia Mau Tran
String = 20354,Kiem Luan Tram
String = 20404,Tien Thach Truy
String = 20405,Viem Luu Tinh
String = 20406,Tien Vu Xung
String = 20407,XichDiemHoaLuan
String = 20408,Chan Dia Quyet
String = 20409,Thien Hoa Phan
String = 20410,Liet Dia Nhan
String = 20411,ThuyHoaTuongSinh
String = 20412,Pha Khong Dien
String = 20413,Bach Thu Bon
String = 20414,Song Nguyet Tram
String = 20415,PhongHoaSongLong
String = 20416,DiaThuySongLong
String = 20417,AnNhanNLienKich
String = 20418,AnNhanSieuSat
String = 20419,Toan Dang Kiem
String = 20420,Thai Cuc Hoa
String = 20421,Bat Quai Dang
String = 20422,UMinhTaPhap
String = 20423,Co Quan Tran
String = 20424,NhatNguyetTHanh
String = 20425,LienHoaThanKiem
String = 20426,Cuu Menh Thuat
String = 20427,No Loi Oanh
String = 20428,LoiLePhongHanh
String = 20429,PhucBinhGiapKich
String = 20430,ThatSatQuyDao
String = 20431,OanhLoiXungXa
String = 20432,Kiem Vo Luong
String = 20433,BatQuaiPhuBinh
String = 20437,Tien Thach Vu
String = 20438,LietViemLuuTinh
String = 20439,Tien Thach Vu
String = 20440,XichDiemHoaLuanQ
String = 20441,ChanDiaDaiPhap
String = 20442,ThienHoaGiangThe
String = 20443,LietDiaCuongNhan
String = 20444,PhaKhongHoaPhung
String = 20445,Thien Thu Bon
String = 20446,ThapLucDaTram
String = 20447,QuanLongQPhongHoa
String = 20448,QuanLongDDiaThuy
String = 20449,Sieu NhanNhiLienKich
String = 20450,ToanDangTuyetKiem
String = 20451,ThaiCuThanhHoa
String = 20452,BatQuaiLinhDang
String = 20453,UMinhDanQuy
String = 20454,Co Quan Xung
String = 20455,LienHoaKiemTran
String = 20456,Tuc menh thuat
String = 20457,PhucBinhKiTap
String = 20458,ThienTroThanBinh
String = 20459,Kiem Vo Dich
String = 20460,BatQuaiPhuBinhTran
String = 20463,LuuTinhHoaVu
String = 20464,LietDiaDungTuyen
String = 20465,PhaKOLietHoang
String = 20466,TienVuThienLa
String = 20467,XichDiemHLuanTran
String = 20468,ChanDiaDongThien
String = 20469,Van Thu Bon
String = 20470,LietQuangThienNhan
String = 20471,Sieu NhanDietTuyet
String = 20472,AoNghiaNDaoThe
String = 20473,UMinhQuyBinh
String = 20474,HamVuLoiQKiem
String = 20475,LienHoaTramVu
String = 20476,Chuyen Sinh Thuat
String = 20477,CoQuanSatTran
String = 20478,OanhThienNhatKiem
String = 20479,Phong Loi Khieu
String = 20480,ThienBangDiaLiet
String = 20481,Thap Dien Mai Phuc
String = 20482,CanKhonBatTranD
String = 20485,ThienDiaVoDung
String = 20486,ThanQuyCongPhan
String = 20487,QuyKhocThanHieu
String = 20488,QuanLongVuThPh
String = 20489,ThienPhienDiaPhuc
String = 20490,ThienLyTieuTho
String = 20491,SamLaVanTuongK
String = 20492,Nghich Thien Thuat
String = 20493,TuLinhTruTaTran
String = 20494,CuuTieuPhLoiDong
String = 20498,HuyThien DietDia
String = 20499,CQ DietTuyetXung
String = 20500,HongLien DiaNguc
String = 20501,LongHoang PhachTuyet
String = 20502,HN DoanKhTram
String = 20503,ThienLyBatLuu
String = 20504,ThienDia NhatDaoD
String = 20505,BatTuThanThuat
String = 20506,CuuCucNaNghia
String = 20507,ThuHoangPhaTa
String = 20510,Xich Diem Kich
String = 20511,Ham Dia Kich
String = 20512,NhiLienTrongKich
String = 20513,TuPhuongTrongKc
String = 20514,NhiLienTPhongTram
String = 20515,TP LoiKichTram
String = 20516,Na Di Kiem
String = 20517,MenhLieuNaDiTr
String = 20518,HoiThienNaDiTr
String = 20519,PhongHoaLongNhaXa
String = 20520,OanhLoiLongNhaXa
String = 20521,Thuy Long Kich
String = 20522,Dia Long Kich
String = 20523,Phong Long Kich
String = 20524,Hoa Long Kich
String = 20525,ThuyNguyetTrLuuTram
String = 20526,BanNguyetKcLuuTram
String = 20527,NhatKhiLienHoaSinh
String = 20528,NhatKhiThienLoiThiem
String = 20529,Bao Loi Chuy
String = 20530,U Minh Ta
String = 20531,NguLoiThanKiem
String = 20532,LacNhatHoaKhiCung
String = 20533,LacNguyetHoaKhiCung
String = 20534,LietDiemBaoKich
String = 20535,ChanDiaBaoKich
String = 20536,TamLienBaoKich
String = 20537,BatPhuongBaoKich
String = 20538,TamLienBPhongTram
String = 20539,BatPhuongLoiMinhTr
String = 20540,NaDiKiemTran
String = 20541,TheLieuNaDi
String = 20542,PhanThienNaDi
String = 20543,SiViemLongNhaXa
String = 20544,KinhDienLongNhaXa
String = 20545,Thuy Long Xung
String = 20546,Dia Long Xung
String = 20547,Phong Long Xung
String = 20548,Hoa Long Xung
String = 20549,NguyetNhanCuongLuuTr
String = 20550,NhatNguyetNghichLuuTr
String = 20551,NhatKhiLienHoaVu
String = 20552,NhatKhiThienLoiCuc
String = 20553,Than Loi Chuy
String = 20554,UMinhHacTa
String = 20555,NguLoiThanKiem
String = 20556,TamThanhKiemLuanVu
String = 20557,DietKhiPhiDao
String = 20558,DoatKhiQuyKich
String = 20559,ThatTinhThienKiem
String = 20560,LietDiaNoViemKich
String = 20561,TamLienPhongLoiTr
String = 20562,BatPhuongLoiViemTr
String = 20563,PhongHoaSongLongTr
String = 20564,DiaThuySongLongTram
String = 20565,HoatThienNaDiKiem
String = 20566,TramNguyet ThienNhan
String = 20567,NhatKhiLienHoaDang
String = 20568,NhatKhiThienLoiKiem
String = 20569,ViemLuanPhaSonChuy
String = 20570,TaNhanPheHuyetTran
String = 20571,CuongLoiDoatKhiKiem
String = 20572,BatDietThanUyKiem
String = 20573,SiThienBatPhuongDiem
String = 20574,NLLCuongLongKhieu
String = 20575,NLCuongDaoTramNguyet
String = 20576,NghichThien NaDi
String = 20577,CuongTap DotPha
String = 20578,NhatKhiDoatCanKhon
String = 20579,TaNhanKhocHonTran
String = 20580,CoQuanDaiDotKich
String = 20581,TLHuKhongVoCuc
String = 20582,NhatLien ThacSinh
String = 20583,KiemLuyen DietTheTK
String = 20584,PhaSonDiaLongTr
String = 20585,DoanLangThuyLongTr
String = 20586,LietKOPhongLongTr
String = 20587,PhanThienViemLongTr
String = 20588,SieuNhanAnhLongVu
String = 20589,ThatTinhDChuyenSinh
String = 20590,CucDonGiapHuyenBi
String = 20599,HoaPhungTrienDuc
String = 20600,ThanHoangDietThe
String = 20601,ThanhLamTuyetKiem
String = 20602,HoaLamTuyetKiem
String = 20603,QuyThanLietKich
String = 20604,BatQuaiHoaThanPhao
String = 20605,BatQuaiDietNguyenPhao
String = 20606,ViemMaPhaDia
String = 20607,HoaThanDietThe
String = 20608,ThienKiemKinhLoi
String = 20609,MaDaoDietHon
String = 20610,TrungNghiaNgaoThe
String = 20611,Nhan Nghi Thien
String = 20612,HacGiaoNoPhien
String = 20613,CongCongPhachHai
String = 20614,BachKiemTuyetTung
String = 20615,BonLoiTapDien
String = 20616,ThienLoiCucDien
String = 20617,ThLongThienLangNha
String = 20620,DiemTuyetChungSinh
String = 20621,KiNhuong BiNghi
String = 20622,HoKhieuDietQuan
String = 20623,NguHoPha Cuc
String = 20624,BatTranHoiThien
String = 20625,BatCucQuyNguyen
String = 20626,TuCaiDangLong
String = 20628,LongPhungThienVu
String = 20635,KhiPhuongThLongVu
String = 20636,DietTuyetLongPhao
String = 20637,DietTuyetPhaoTran
String = 20638,CauHonDoatPhach
String = 20639,AmPhong ThienSat
String = 20640,DHuyetLoiThiemDao
String = 20641,ThaiCuc CDCung
String = 20642,BPhuongLoiMinhTh
String = 20643,ThanBinhTuyetTran
String = 20644,LongQuyenLoiOanh
String = 20645,CuuUMinhSatTran
String = 20646,LietDia DongThien
String = 21000,Mo ta vo tuong ki
String = 21001,Du bi
String = 21002,Du bi
String = 21003,Du bi
String = 21004,设下火计，让敌人受到烈火焚身的伤害。
String = 21005,事先设置陷阱，让敌人被从脚下窜起的火舌烧死。
String = 21006,设下连环火计，诱使大量敌人陷入火海的包围。
String = 21007,派出二台弩车，射出大量的箭矢攻击敌军。
String = 21008,派出四台弩车，射出大量的箭矢攻击敌军。
String = 21009,派出六台弩车，以绵密无空隙的箭网攻击敌军。
String = 21010,派出一组弓箭队，施放着火的箭矢攻击敌人。
String = 21011,派出两组弓箭队，施放满天箭雨，令敌人伤亡惨重。
String = 21012,派出三组弓箭队，以火箭对敌军施放大范围箭雨。
String = 21013,从我军后方发射长距离的龙炮，对敌军进行炮击。
String = 21014,以数台龙炮进行齐射攻势，发动大规模炮击。
String = 21015,以多台龙炮进行齐射攻势，对敌军发动毁灭性炮击。
String = 21016,派出三台投石车，以着火的石块攻击敌人。
String = 21017,派出五台投石车，抛射出炬石落在敌军密集处。
String = 21018,派出七台投石车，以大量炬石对敌军进行密集轰炸。
String = 21019,推出一具火轮，碾死路径上的敌人。
String = 21020,将两具火轮并排推入敌军之中，造成大量死伤。
String = 21021,同时推出三具火轮，令敌人无处可逃。
String = 21022,将巨大的石块推入敌阵，令敌军受到伤害。
String = 21023,将五颗石头滚入敌阵，杀得敌人措手不及。
String = 21024,将大量大石块推进敌阵里，造成敌军大量死伤。
String = 21025,预备列
String = 21026,预备列
String = 21027,预备列
String = 21028,以地底喷出的水柱冲垮敌兵。
String = 21029,从地底深处喷出强力水柱，引发灾害。
String = 21030,诱发大规模的水柱群冲出地表，酿成严重的灾害。
String = 21031,预先在战场上设置机关，以长矛贯穿敌人。
String = 21032,设置好几组机关，以连环陷阱刺杀大量的敌人。
String = 21033,设下连环机关，使敌军死在长矛之下，逃生无门。
String = 21034,预备列
String = 21035,预备列
String = 21036,预备列
String = 21037,预备列
String = 21038,预备列
String = 21039,预备列
String = 21040,从敌将脚底下刺出石柱。
String = 21041,从敌将脚底下刺出石柱，并波及其他敌兵。
String = 21042,以将地面翻过来的规模，在敌将周围刺出大量石柱。
String = 21043,设置陷阱，在敌军行进的路线上升起一道炎墙。
String = 21044,升起一道火海状的长城，阻挡大军行进。
String = 21045,升起三道火柱，杀伤力强大，需要耗费大量技力。
String = 21046,升起四道火柱，杀伤力极强，但耗费的技力也相当惊人。
String = 21047,预先设置太极法阵，待敌军接近时，令法阵自行启动。
String = 21048,设置大量太极法阵，待敌军接近，发动爆炸性的连锁攻击。
String = 21049,以蕴含八卦之力的灵剑，对二个方向敌军攻击。
String = 21050,以蕴含八卦之力的灵剑，对四个方向敌军攻击。
String = 21051,以蕴含八卦之力的灵剑，对六个方向敌军攻击。
String = 21052,在敌阵当中落下闪电。
String = 21053,在敌阵当中落下大量闪电。
String = 21054,施展术法，呼唤末日般的天雷之阵降临在敌阵营上。
String = 21055,在所有敌将身上落下闪电。
String = 21056,以强力落雷连续攻击所有敌将。
String = 21057,召唤威力强大的天雷，对所有敌将造成伤害。
String = 21058,以少量伏兵埋于我军后方，等待时机，加入战局。
String = 21059,以多量伏兵埋于我军后方，等待时机，加入战局。
String = 21060,以大量伏兵埋于我军后方，等待时机，加入战局。
String = 21061,以少量伏兵埋于敌军后方，等待时机，加入战局。
String = 21062,以多量伏兵埋于敌军后方，等待时机，加入战局。
String = 21063,以大量伏兵埋于敌军后方，等待时机，加入战局。
String = 21064,以两台铁甲运兵车将士兵载运到战场中央。
String = 21065,以三台铁甲运兵车将士兵载运到战场中央。
String = 21066,以四台铁甲运兵车将士兵载运到战场中央。
String = 21067,以术法操纵火石，使其围绕在武将四周。
String = 21068,以术法操纵数颗火石，烧死意图来犯的敌人。
String = 21069,唤出数量庞大的火石，组成既可攻、亦可守的阵势。
String = 21070,放出会爆炸、也会自行追敌的莲花灯。
String = 21071,放出数个莲花灯，让莲花灯自行去攻击敌人。
String = 21072,一口气放出大量莲花灯，对敌军发动连续的爆炸。
String = 21073,释放出两把能自行索敌、攻击的心剑。
String = 21074,释放出四把能自行索敌、攻击的心剑。
String = 21075,数把光剑排列在武将周围，旋转斩杀来袭的敌人。
String = 21076,唤出两把神兵随在武将身边，让其自行去攻击敌人。
String = 21077,疯狂砍杀的大招式，能对敌将造成莫大伤害。
String = 21078,放出龙卷风，将路径上的敌兵吹到天空去。
String = 21079,放出数个龙卷风，将路径上的敌兵吹到天空去。
String = 21080,掀起涛天狂岚，令大量敌兵陷入天地变异的大灾难中。
String = 21081,预备列
String = 21082,预备列
String = 21083,预备列
String = 21084,派出一排长枪兵为敢死队，自大军中杀出重围。
String = 21085,派出一排精锐骑兵，在敌军的阵势当中杀出一条血路。
String = 21086,派出身上着火的发狂火牛进行突击。
String = 21087,一次派出好几头火牛冲入敌军，扰乱敌军阵势。
String = 21088,派出一大群火牛做为前锋突击之用，对敌全军进行攻击。
String = 21089,派出两台冲车闯入敌军最密集的地方，撞散敌军的阵势。
String = 21090,派出四台冲车，令敌军的阵势在一瞬间崩溃。
String = 21091,召唤出两只可怕的尸鬼。
String = 21092,召唤出四只尸鬼，命令他们攻击眼前的敌人。
String = 21093,在敌阵中同时召唤出六只尸鬼，杀得敌人措手不及。
String = 21094,派出两台造型怪异的机关怪兽，喷火攻击敌人。
String = 21095,派出四台造型怪异的机关怪兽，喷火攻击敌人。
String = 21096,放出野兽，任凭野兽自行去咬死敌人。
String = 21097,放出更多的野兽，任凭野兽自行去咬死敌人。
String = 21098,发动万兽奔腾的攻势，即使大军团也难以匹敌。
String = 21099,发射出特制的飞行兵器，自上空投下炸弹。
String = 21100,派出数台神鸢，对敌军进行轰炸。
String = 21101,派出大批神鸢，对敌全军发动轰炸攻击。
String = 21102,派出两台井阑，从居高临下的位置以箭雨射杀敌人。
String = 21103,派出四台井阑，从居高临下的位置以箭雨射杀敌人。
String = 21104,施展奇门遁甲，使活动中的敌人全静止不动。
String = 21105,打开空间洞穴，将敌兵吸入。
String = 21106,打开通往冥府的洞穴，将敌兵全部拖到幽冥之底。
String = 21107,进行快速治疗，回复本身少许体力。
String = 21108,进行快速治疗，回复本身部分体力。
String = 21109,进行快速治疗，回复本身大量体力。
String = 21110,进行快速治疗，回复全体武将少许体力。
String = 21111,进行快速治疗，回复全体武将部分体力。
String = 21112,进行快速治疗，回复全体武将大量体力。
String = 21113,挥出三道剑气，扫平沿路上敌兵，直取目标敌将。
String = 21114,挥出五道剑气，直取敌将，对沿路敌兵的威胁性更大。
String = 21115,挥出七道剑气，除杀伤敌将，其威力甚至能扫平军队。
String = 21116,发出三道剑气，剑气会全部集中攻击一名敌将。
String = 21117,同时发出五道强力剑气，集中对一名敌将造成莫大伤害。
String = 21118,凝聚斗气成形，对敌军投掷出一把飞戟
String = 21119,锁定敌将，以浑身气力击发弓箭，在夜晚时有更大威力。
String = 21120,锁定敌将，以浑身气力击发弓箭，在白昼时有更大威力。
String = 21121,锁定一名武将，投掷一把飞刀攻击该名敌将。
String = 21122,将浑身的斗气提升，幻化出金色武将出击，冲杀敌全军。
String = 21123,召唤神剑，将落在敌阵头上，并落下大量剑雨。
String = 21124,召唤二把神剑，将落在敌阵头上，并同时落下大量剑雨。
String = 21125,召唤数把神剑，以巨大神剑以及剑雨在敌阵上发动攻势。
String = 21126,召唤出神圣的黄龙，以黄龙天火攻击敌全军。
String = 21127,引发大规模地震，使地层下岩石破土而出，攻击敌全军。
String = 21128,将大量石块卷入高空，再令其高速落下攻击敌全军。
String = 21129,预备列
String = 21130,预备列
String = 21131,预备列
String = 21132,预备列
String = 21133,发射出能引动天雷的电球攻击敌人。
String = 21134,释放出数颗可自动追敌的雷球，诱发连续的雷击。
String = 21135,同时放出数量庞大的雷球，在敌军内引动大规模的攻击。
String = 21136,在武将前后放置两面盾牌，在时间内呈现无敌状态。
String = 21137,在武将前后放置两面盾牌，在时间内呈现无敌状态。
String = 21138,在武将前后放置两面盾牌，在时间内呈现无敌状态。
String = 21139,在一定范围内，以三道薄如水刃的冲击波攻击敌人。
String = 21140,在一定范围内，击出五道并排的月刃冲击波。
String = 21141,在一定范围内，击出七道并排、宛如海啸般的月刃冲击波。
String = 21142,召唤出东方的守护兽，神兽之一的青龙。
String = 21143,召唤出北方的守护兽，神兽之一的玄武。
String = 21144,召唤出西方的守护兽，神兽之一的白虎。
String = 21145,召唤出南方的守护兽，神兽之一的朱雀。
String = 21146,在敌阵里召唤两个八卦刀轮阵，以回转刀轮斩杀敌人。
String = 21147,在敌阵里召唤四个八卦刀轮阵，以回转刀轮斩杀敌人。
String = 21148,在敌阵里召唤六个八卦刀轮阵，以回转刀轮斩杀敌人。
String = 21149,以符咒化为士兵，在时间内将吸引敌军的注意力。
String = 21150,以符咒化为士兵，在一段时间内将吸引敌军的注意力。
String = 21151,以符咒化为士兵，在长时间内将吸引敌军的注意力。
String = 21152,预备列
String = 21153,预备列
String = 21154,预备列
String = 21155,以三个血腥的刀轮斩杀眼前的敌人。
String = 21156,以五个血腥的刀轮斩杀眼前的敌人。
String = 21157,操作七个刀轮，对敌军发动攻击，杀伤力极为强大。
String = 21158,派出两名忍者，以土遁忍术潜入敌军，伺机偷袭。
String = 21159,派出四名忍者，以土遁忍术潜入敌军，伺机偷袭。
String = 21160,派出六名忍者以土遁忍术发动偷袭，打得敌军措手不及。
String = 21161,派出一排忍者，投掷出威力强大的炸裂弹。
String = 21162,派出两排忍者，投掷数量庞大的炸裂弹，对敌军爆击。
String = 21163,派出三排忍者，以强力炸裂弹对敌军进行大规模攻击。
String = 21164,派出十名忍者，从后方投掷飞镖。
String = 21165,派出二十名忍者，从后方投掷飞镖，射杀敌人。
String = 21166,派出三十名忍者，从后方投掷大量飞镖，射杀敌人。
String = 21167,预备列
String = 21168,预备列
String = 21169,预备列
String = 21173,预备列
String = 21174,预备列
String = 21175,预备列
String = 21176,预备列
String = 21177,预备列
String = 21178,预备列
String = 21179,预备列
String = 21180,预备列
String = 21181,预备列
String = 21182,预备列
String = 21183,预备列
String = 21184,预备列
String = 21185,预备列
String = 21186,预备列
String = 21187,预备列
String = 21188,预备列
String = 21189,预备列
String = 21190,预备列
String = 21191,预备列
String = 21192,预备列
String = 21193,以大量伏兵埋于我军后方，等待时机，加入战局。
String = 21194,以大量伏兵埋于敌军后方，等待时机，加入战局。
String = 21195,预备列
String = 21196,预备列
String = 21197,预备列
String = 21198,预备列
String = 21199,预备列
String = 21200,派出身上着火的发狂火牛进行突击。
String = 21201,预备列
String = 21202,发动万兽奔腾的攻势，即使大军团也难以匹敌。
String = 21203,派出大批神鸢，对敌全军发动轰炸攻击。
String = 21204,施展奇门遁甲，使活动中的敌人全静止不动。
String = 21205,超地狱之门
String = 21206,超活疗术
String = 21207,超活天术
String = 21208,超日月轮斩
String = 21209,连弓
String = 21210,超神剑闪华
String = 21211,预备列
String = 21212,在武将前后放置两面盾牌，在时间内呈现无敌状态。
String = 21213,超月轮烈光斩
String = 21214,在敌阵里召唤八个八卦刀轮阵，以回转刀轮斩杀敌人。
String = 21215,预备列
String = 21216,超铁轮血斩阵
String = 21217,超土遁隐杀
String = 21218,超火雷鬼玉破
String = 21219,超隐忍镖阵
String = 21220,预备列
String = 21221,预备列
String = 21222,预备列
String = 21223,预备列
String = 21224,预备列
String = 21225,预备列
String = 21226,预备列
String = 21227,召唤流水之龙，以八颗流星般水弹冲撞敌军。
String = 21228,召唤流水之龙，以十六颗流星般水弹冲撞敌军。
String = 21229,召唤流水之龙，以二十四颗流星般水弹冲撞敌军。
String = 21230,预备列
String = 21231,召唤大地之龙，在敌军脚下引起地震。
String = 21232,召唤大地之龙，在敌军脚下引起强烈地震。
String = 21233,召唤大地之龙，在敌军脚下引起大范围的强烈地震。
String = 21234,预备列
String = 21235,召唤狂风之龙，卷起风暴侵袭敌兵。
String = 21236,召唤狂风之龙，卷起猛烈的风暴侵袭敌兵。
String = 21237,召唤狂风之龙，卷起猛烈的超大风暴侵袭敌兵。
String = 21238,预备列
String = 21239,召唤烈火之龙，烧死眼前敌人。
String = 21240,召唤烈火之龙，敌军接触者立即烈火焚身。
String = 21241,召唤烈火之龙，以灼热烈焰将大批敌军烧为焦炭。
String = 21242,预备列
String = 21243,自地狱召来魔剑，持之杀伤敌军可吸取体力。
String = 21244,自地狱召来幽冥魔剑，可杀伤敌军并吸取体力。
String = 21245,自地狱召来最强幽冥魔剑，可杀伤敌军并吸取体力。
String = 21246,预备列
String = 21247,以遁甲密法迎来圣剑，在时间内大幅增加杀伤力。
String = 21248,以遁甲密法迎来天界圣剑，在时间内大幅增加杀伤力。
String = 21249,以遁甲密法迎来至高天界圣剑，在时间内大幅增加杀伤力。
String = 21250,预备列
String = 21251,唤出两台轻量型铁甲车，以尖锐的龙牙锥杀伤敌军。
String = 21252,唤出四台轻量型铁甲车，以尖锐的龙牙锥杀伤敌军。
String = 21253,唤出六台轻量型铁甲车，以尖锐的龙牙锥杀伤敌军。
String = 21255,召唤出镇守中央的守护兽之长，神兽之一的麒麟。
String = 21256,预备列
String = 21257,由异界召唤最强的机关车前来助阵。
String = 21258,由异界召唤究极的机关士兵前来助阵。
String = 21264,召来聚集冻气的冻血刀，有时会以大范围冻气伤敌
String = 21265,召来聚集九地冻气的冻血魔刀，有时会以大范围冻气伤敌
String = 21266,召来聚集绝地冻气的冻血封狱刀，有时会以大范围冻气伤敌
String = 21267,预备列
String = 21268,召来蕴含火焰之力的祝融弓，有时会以多重火焰烧伤敌人
String = 21269,召来蕴含烈火之力的烈火弓，经常引发火焰烧死敌人
String = 21270,召来蕴含天火之力的极火弓，经常发动极焰烧死周围敌兵
String = 21271,预备列
String = 21272,召来可以扇起狂风的芭蕉扇，有时会掀起狂风卷走敌人
String = 21273,召来可以扇起飓风的飓风扇，有时会掀起飓风卷走敌兵
String = 21274,召来可以扇起龙卷的龙卷扇，有时会掀起龙卷迎击敌军
String = 21275,预备列
String = 21276,具备雷电之威的神枪，能以闪电退敌
String = 21277,具备雷霆神威的神兵，经常发动闪电伤敌
String = 21278,具备九天霹雳威能的神枪，其威力无人能敌
String = 21279,预备列
String = 21280,召来地域阴魄缠住敌将，使其气力散尽
String = 21281,召来地域阴魄缠住敌将，使其气力散尽
String = 21282,召来地域刁魂缠住敌将，吸取其体力化为己身所用
String = 21283,召来地域刁魂缠住敌将，吸取其体力化为己身所用
String = 21284,以七星之力对敌将进行诅咒，有机会造成致死的重伤
String = 21285,以七星之力对敌将进行诅咒，以高机会造成致死的重伤
String = 21286,召来两台具备毁灭力量的龙虎炮车，对敌军进行炮击
String = 21287,召来四台具备毁灭力量的龙虎炮车，对敌军进行连续炮击
String = 21288,以三把玄冰刀轮挟带冻气对敌方进行攻击
String = 21289,以四把玄冰刀轮挟带冻气对敌方进行攻击
String = 21290,以五把玄冰刀轮挟带冻气对敌方进行攻击
String = 21291,引发地脉龙气，对地面上所有敌兵造成伤害
String = 21292,引发地脉龙气，对地面上所有敌兵造成严重伤害
String = 21293,引发地脉龙气，对地面上所有敌兵造成毁灭性伤害
String = 21301,召唤七星灯，落马时可毫发无伤的重回战场。
String = 21302,召唤七星续命灯，落马时可毫发无伤的重回战场。
String = 21303,以武器向前猛劈，杀伤前方敌军。
String = 21304,以武器向前猛力劈斩，对前方敌军造成较大伤害。
String = 21305,向前挥出两道剑气，袭杀路径上的敌军。
String = 21306,向前挥出三道剑气，袭杀路径上的敌军。
String = 21307,连续发出四道剑气，袭杀路径上的敌军。
String = 21308,连续发出八道剑气，袭杀路径上的敌军。
String = 21309,装备巨大铁锤，能对守城军械造成巨大伤害，持续时间短。
String = 21310,装备巨大铁锤，能对守城军械造成巨大伤害，持续时间一般。
String = 21311,装备巨大铁锤，能对守城军械造成巨大伤害，持续时间长。
String = 21312,自异界召来邪刃，杀死敌兵时，有机会使其复活为尸兵。
String = 21313,自异界召来邪灵刃，杀死敌兵时，有机会使其复活为尸兵。
String = 21314,自异界召来邪灵妖刃，杀死敌兵时，有机会使其复活为尸兵。
String = 21315,以遁甲之术将周围敌兵送往敌阵后方。
String = 21316,以遁甲之术将周围大批敌兵送往敌阵后方。
String = 21317,凝聚浑元真气，向前射出冲击弹。
String = 21318,凝聚浑元真气，向前射出强力的冲击弹。
String = 21319,以秘法化去敌军少许气力。
String = 21320,以秘法化去敌军大量气力。
String = 21321,以秘法吸纳敌军少许气力为己用。
String = 21322,以秘法吸纳敌军大量气力为己用。
String = 21323,召唤大妖魔-九尾妖狐，袭杀敌军。
String = 21324,以妖法召来庞大的巨木妖尸。
String = 21325,唤来凶暴的钢牙巨虎助阵。
String = 21326,派出以远古异龙遗骸制作的机铁异龙杀入敌阵。
String = 21327,派出模仿神兽凤凰而制的机铁炎凰袭杀敌军。
String = 21328,派出模仿螭虎而制的机关兽袭杀敌军。
String = 21329,派出模仿狻猊而制的机关兽袭杀敌军。
String = 21330,派出威力不凡的机铁神鹰。
String = 21331,召唤烈焰火鬼，令其杀入敌阵。
String = 21332,唤来以化为妖魔的上古凶兽袭杀敌军。
String = 21333,唤来冥界妖将助战。
String = 21334,召唤戾气甚重的阵亡刀兵前来助阵。
String = 21335,召唤戾气甚重的阵亡枪兵前来助阵。
String = 21341,预备列
String = 21342,预备列
String = 21343,[陷阱]以高热火焰烧杀敌兵的陷阱阵法
String = 21344,[陷阱]以猛火炎墙烧杀敌兵的陷阱阵法
String = 21345,[陷阱]以无数莲华袭杀敌兵的陷阱阵法
String = 21346,[陷阱]以无数浮雷殛杀敌兵的陷阱阵法
String = 21347,[陷阱]以五行遁甲封住敌兵行动的陷阱阵法
String = 21348,[陷阱]以五行遁甲转移敌兵位置的陷阱阵法，最多可移动10格
String = 21349,[陷阱]以五行遁甲转移敌兵位置的陷阱阵法，最多可移动20格
String = 21350,[陷阱]以五行遁甲转移敌兵位置的陷阱阵法，最多可移动40格
String = 21351,[陷阱]打开异界之门将敌兵吸入异空间的陷阱阵法
String = 21352,[陷阱]打开地府幽冥之门将大量敌兵吸入异空间的陷阱阵法
String = 21353,[陷阱]以无数地矛刺杀敌兵的陷阱阵法
String = 21354,[陷阱]以高速旋转的神剑砍杀敌兵的陷阱阵法
String = 21404,派出一组弓箭队和三台投石车，进行炬石和火箭的联合射击。
String = 21405,派出三台投石车对敌军投掷特制炬石，在弹着地点产生赤焰烧伤敌军。
String = 21406,派出一组弓箭队和二台弩车，进行投射、直射两种箭矢的联合射击。
String = 21407,推出一具特制的火轮，辗死路径上的敌人，并产生赤焰烧伤敌军。
String = 21408,将四颗滚石推入敌阵伤敌，同时引发石柱破出而出杀伤敌军。
String = 21409,派出三台投石车对敌军投掷特制炬石，在弹着地点产生炎墙烧伤敌军。
String = 21410,发动陷阱，由地面刺出长茅及石柱杀伤敌军。
String = 21411,同时发动赤焰及水柱陷阱，对敌军造成伤害。
String = 21412,派出四台发射车，以特制的神鸢对敌军发动自爆攻击。
String = 21413,驱赶花豹、火牛等猛兽，对敌军进行突击。
String = 21414,以一道剑气直取敌将，飞散的月形冲击波将同时杀伤四周敌军。
String = 21415,同时召来风龙及火龙，以飓风、火焰杀伤敌军。
String = 21416,同时召来地龙及水龙，以地震、水流杀伤敌军。
String = 21417,派出两队忍者，进行炸裂弹及飞镖的联合射击。
String = 21418,派出两名忍者，以土遁忍术潜入敌军，同时发射飞镖及炸裂弹。
